기준일,시도,시군구,먹는치료제 처방기관,전화번호,주소
24년 09월 16일 06시,서울,강동구,서울현대요양병원,02-484-7588,"서울특별시 강동구 올림픽로 684, 서울현대요양병원 (천호동)"
24년 09월 16일 06시,서울,강서구,연세의원,02-2601-3433,"서울특별시 강서구 화곡로 197, 1,2층 (화곡동)"
24년 09월 16일 06시,서울,강서구,상쾌한이비인후과의원,02-2601-2205,"서울특별시 강서구 화곡로 176-4, 3층 (화곡동)"
24년 09월 16일 06시,서울,강서구,연세든든내과의원,02-6347-8880,"서울특별시 강서구 화곡로 152, CUBE152 2,4층 (화곡동)"
24년 09월 16일 06시,서울,강남구,안효승내과의원,02-6223-8000,"서울특별시 강남구 선릉로 406, 4층 (대치동)"
24년 09월 16일 06시,서울,송파구,방실방실소아과의원,02-417-4900,"서울특별시 송파구 백제고분로50길 31, (방이동, 2층)"
24년 09월 16일 06시,서울,은평구,의료법인 성누가의료재단 성누가병원,02-1660-0075,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)"
24년 09월 16일 06시,서울,강서구,복복한 이비인후과 의원,02-2620-2667,"서울특별시 강서구 화곡로 157, Roi빌딩 2층 201호 (화곡동)"
24년 09월 16일 06시,서울,송파구,강플러스내과의원,02-400-8827,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 2,3층 (마천동)"
24년 09월 16일 06시,서울,서대문구,의료법인장안의료재단홈메디칼의원,02-395-2351,"서울특별시 서대문구 홍은중앙로8길 17, (홍은동)"
24년 09월 16일 06시,서울,마포구,김재학내과의원,02-704-1335,"서울특별시 마포구 큰우물로 53, 402호 (염리동)"
24년 09월 16일 06시,서울,마포구,건강한내과의원,02-2088-6119,"서울특별시 마포구 큰우물로 53, 마포 네이버타운 2층 201(일부),202호 (염리동)"
24년 09월 16일 06시,서울,송파구,김태균의원,02-406-7950,"서울특별시 송파구 송파대로32길 15, (가락동, 금호상가 208호)"
24년 09월 16일 06시,서울,강북구,서울에이치내과의원,02-905-7559,"서울특별시 강북구 도봉로 323, 용신빌딩 4층 401호 (수유동)"
24년 09월 16일 06시,서울,강동구,고덕바른속내과의원,02-3427-1500,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 203~208호 (명일동)"
24년 09월 16일 06시,서울,강동구,명일연세내과의원,02-428-8003,"서울특별시 강동구 양재대로 1576, 삼익빌딩 4층 (명일동)"
24년 09월 16일 06시,서울,강동구,연세한마음내과의원,02-476-3690,"서울특별시 강동구 양재대로 1486, 정남빌딩 2, 4층 401호 (길동)"
24년 09월 16일 06시,서울,성동구,성수하나이비인후과의원,02-468-5075,"서울특별시 성동구 아차산로 120, 베델플레이스 4층 (성수동2가)"
24년 09월 16일 06시,서울,영등포구,가톨릭대학교 여의도성모병원,1661-7575,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)"
24년 09월 16일 06시,서울,노원구,베스트가정의학과의원,02-936-0075,"서울특별시 노원구 덕릉로 694, 2층 (중계동, 수암약국)"
24년 09월 16일 06시,서울,강서구,강서아산내과의원,02-6325-7575,"서울특별시 강서구 가로공원로76길 51, 2~5층 (화곡동)"
24년 09월 16일 06시,서울,동대문구,딸기소아청소년과의원,02-2244-4525,"서울특별시 동대문구 장한로32길 19, 105동 2층 202호 (장안동, 삼성리치캐슬)"
24년 09월 16일 06시,서울,은평구,강변내과의원,02-375-9300,"서울특별시 은평구 가좌로 271, 3,4층 (신사동)"
24년 09월 16일 06시,서울,양천구,연세윤내과의원,02-2604-7373,"서울특별시 양천구 신정중앙로 103, 6층 (신정동, 담우빌딩)"
24년 09월 16일 06시,서울,양천구,이기섭의원,02-2607-7174,"서울특별시 양천구 남부순환로40길 67, (신월동)"
24년 09월 16일 06시,서울,성동구,한양대학교병원,02-2290-8114,"서울특별시 성동구 왕십리로 222-1, (사근동)"
24년 09월 16일 06시,서울,영등포구,(의) 열린의료재단 영등포열린의원,02-2676-0832,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)"
24년 09월 16일 06시,서울,관악구,사랑의병원,02-880-0114,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )"
24년 09월 16일 06시,서울,성동구,신호균모두드림내과의원,02-2295-5312,"서울특별시 성동구 왕십리로 339, 4, 5층 (하왕십리동)"
24년 09월 16일 06시,서울,성동구,이환구이비인후과의원,02-2298-2803,"서울특별시 성동구 왕십리로 410, L동 2층 230호 (하왕십리동, 센트라스)"
24년 09월 16일 06시,서울,성동구,고선용산부인과의원,02-2292-4411,"서울특별시 성동구 왕십리로 309, 407호 (행당동, 왕십리역이스타빌 )"
24년 09월 16일 06시,서울,강남구,연세라파의원,02-931-1051,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 19호, 20호 (역삼동)"
24년 09월 16일 06시,서울,성동구,365연세의원,02-2291-2211,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)"
24년 09월 16일 06시,서울,강남구,이앤문내과의원,02-547-1668,"서울특별시 강남구 학동로 313, 2층 (논현동)"
24년 09월 16일 06시,서울,은평구,연세속편안내과의원,02-386-7588,"서울특별시 은평구 은평로 170, 302호 (응암동, 상현빌딩)"
24년 09월 16일 06시,서울,은평구,밝은소리이비인후과의원,02-388-2080,"서울특별시 은평구 은평로 170, 303호 (응암동, 상현빌딩)"
24년 09월 16일 06시,서울,마포구,앤의원,02-717-7726,"서울특별시 마포구 만리재로 15, 403~406호 (공덕동, 제일빌딩)"
24년 09월 16일 06시,서울,동작구,삼성드림내과의원,822-9658,"서울특별시 동작구 만양로 5-1, 1층 101호 (상도동, 나동)"
24년 09월 16일 06시,서울,송파구,연세후이비인후과의원,02-407-7498,"서울특별시 송파구 송파대로32길 15, 상가동 201~202호 (가락동, 가락금호아파트)"
24년 09월 16일 06시,서울,강서구,연세네오소아청소년과의원,02-6959-0107,"서울특별시 강서구 마곡중앙5로 81, 402.403호 (마곡동)"
24년 09월 16일 06시,서울,성동구,서울으뜸내과의원,02-2297-7077,"서울특별시 성동구 왕십리로 333, 유성빌딩 2층 (하왕십리동)"
24년 09월 16일 06시,서울,성북구,SKY서울가정의학과의원,02-928-3175,"서울특별시 성북구 성북로4길 52, 417동 2층 1211호 (돈암동)"
24년 09월 16일 06시,서울,관악구,장튼위튼병원,02-878-7119,"서울특별시 관악구 남부순환로 1867, (봉천동)"
24년 09월 16일 06시,서울,서대문구,연세속편한의원,02-309-7585,"서울특별시 서대문구 수색로 56, 308호 (북가좌동, 성공타워1)"
24년 09월 16일 06시,서울,양천구,별소아청소년과의원,02-2694-1527,"서울특별시 양천구 신정로 312, 뉴프라자 404호 (신정동)"
24년 09월 16일 06시,서울,성동구,한양류마엄완식내과의원,02-466-7447,"서울특별시 성동구 아차산로 126, 더리브 세종타워 2층 204호 (성수동2가)"
24년 09월 16일 06시,서울,영등포구,이덕기내과의원,02-834-8875,"서울특별시 영등포구 디지털로 343, 3,4층 (대림동)"
24년 09월 16일 06시,서울,서대문구,엘림이비인후과의원,02-306-5075,"서울특별시 서대문구 가재울미래로 2, 별동상가동 302호 (남가좌동, DMC파크뷰자이)"
24년 09월 16일 06시,서울,성동구,은준영내과의원,02-2138-5678,"서울특별시 성동구 아차산로 42, 4층 (성수동1가)"
24년 09월 16일 06시,서울,성동구,두리이비인후과의원,02-464-0119,"서울특별시 성동구 아차산로 42, 정명빌딩 6층 (성수동1가)"
24년 09월 16일 06시,서울,강남구,강남연세이비인후과의원,02-511-5075,"서울특별시 강남구 선릉로 703, HS TOWER 2층 (논현동)"
24년 09월 16일 06시,서울,광진구,연세다인의원,02-467-1532,"서울특별시 광진구 면목로 173, 2층 (중곡동)"
24년 09월 16일 06시,서울,서대문구,연세고운가정의학과의원,02-365-5875,"서울특별시 서대문구 독립문로14길 3, 서대문센트레빌 단지내상가 2층 202, 205호 (냉천동)"
24년 09월 16일 06시,서울,영등포구,선의원,02-842-5655,"서울특별시 영등포구 영신로 9, 2층 (영등포동)"
24년 09월 16일 06시,서울,마포구,참길이비인후과의원,02-703-6050,"서울특별시 마포구 마포대로 44, 302호 (도화동, 진도빌딩)"
24년 09월 16일 06시,서울,노원구,한마음의원,02-935-7582,"서울특별시 노원구 덕릉로 730, 3층 (상계동, 불암대림아파트내 상가)"
24년 09월 16일 06시,서울,노원구,노원솔요양병원,932-0036,"서울특별시 노원구 덕릉로 690, 기업은행 2,3,4,5층 (중계동)"
24년 09월 16일 06시,서울,마포구,정내과의원,02-336-7570,"서울특별시 마포구 망원로 74-1, 3층 (망원동)"
24년 09월 16일 06시,서울,영등포구,대림성모병원,02-829-9000,"서울특별시 영등포구 시흥대로 657, (대림동, 대림성모병원)"
24년 09월 16일 06시,서울,은평구,은평연세소아청소년과의원,02-388-0181,"서울특별시 은평구 연서로 246, 2층 (불광동)"
24년 09월 16일 06시,서울,강서구,열린성모이비인후과의원,02-2697-7582,"서울특별시 강서구 강서로 259, 4층 401호 (내발산동, 엠버리움빌딩)"
24년 09월 16일 06시,서울,서초구,봄이비인후과의원,02-529-3266,"서울특별시 서초구 강남대로 48-6, 3층 (양재동)"
24년 09월 16일 06시,서울,금천구,독산내과의원,02-855-3482,"서울특별시 금천구 남부순환로 1372, (독산동)"
24년 09월 16일 06시,서울,은평구,김앤유이비인후과가정의학과연합의원,02-383-5511,"서울특별시 은평구 진관4로 37, 820동 114,115호 (진관동, 롯데캐슬)"
24년 09월 16일 06시,서울,송파구,굿모닝의원,02-409-7576,"서울특별시 송파구 마천로41길 20, (마천동, 2층)"
24년 09월 16일 06시,서울,중랑구,365서울연합의원,02-432-7580,"서울특별시 중랑구 망우로 463, 2층 (망우동)"
24년 09월 16일 06시,서울,송파구,신천상쾌한이비인후과의원,02-422-7112,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 3층 3B04호 (잠실동)"
24년 09월 16일 06시,서울,강동구,훈훈한내과의원,02-484-7600,"서울특별시 강동구 양재대로 1488, (길동)"
24년 09월 16일 06시,서울,마포구,랩이비인후과의원,02-6015-5075,"서울특별시 마포구 양화로 61, 두암빌딩 1(일부)2(일부)층 (서교동)"
24년 09월 16일 06시,서울,강동구,강동김내과의원,02-479-0075,"서울특별시 강동구 풍성로 178, (성내동)"
24년 09월 16일 06시,서울,송파구,상덕의원,02-486-9284,"서울특별시 송파구 바람드리길 62, (풍납동, 2층)"
24년 09월 16일 06시,서울,서초구,서울자이소아청소년과의원,02-591-3311,"서울특별시 서초구 사평대로45길 10-25, 402호 (반포동, 베리스타운)"
24년 09월 16일 06시,서울,강남구,서울ND(엔디)의원,02-3443-9920,"서울특별시 강남구 선릉로 641, 3층 302, 303호 (논현동)"
24년 09월 16일 06시,서울,강동구,서울가정의학과의원,02-474-8281,"서울특별시 강동구 양재대로 1466, (길동)"
24년 09월 16일 06시,서울,강남구,센텀메디의원,552-0700,"서울특별시 강남구 선릉로63길 9, 백림빌딩 2층 (역삼동)"
24년 09월 16일 06시,서울,강남구,연세맑은이비인후과송소아청소년과의원,02-566-5525,"서울특별시 강남구 남부순환로 2927, 207,307호 (대치동, 대치클래시아)"
24년 09월 16일 06시,서울,서초구,(의) 열린의료재단 서초열린의원,02-522-0872,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)"
24년 09월 16일 06시,서울,성북구,더서울병원,02-929-2114,"서울특별시 성북구 아리랑로 16, (동선동4가)"
24년 09월 16일 06시,서울,성동구,삼성드림의원,02-2281-8875,"서울특별시 성동구 고산자로 164, 3층 (행당동, 한신아파트상가)"
24년 09월 16일 06시,서울,영등포구,류운석내과의원,02-2635-8500,"서울특별시 영등포구 선유로 63, 301-2호 (문래동6가, 동신타워)"
24년 09월 16일 06시,서울,영등포구,뉴연세이비인후과의원,02-761-5082,"서울특별시 영등포구 국제금융로2길 37, 306-2호 (여의도동)"
24년 09월 16일 06시,서울,광진구,유앤장이비인후과의원,02-447-0077,"서울특별시 광진구 천호대로 653, (중곡동)"
24년 09월 16일 06시,서울,강남구,연세정앤김내과의원,6205-7582,"서울특별시 강남구 강남대로 240, 양재SK허브프리모 3층 315호 (도곡동)"
24년 09월 16일 06시,서울,광진구,시원누리내과의원,02-2088-5088,"서울특별시 광진구 천호대로 670, 썬-타워빌딩 4층 (구의동)"
24년 09월 16일 06시,서울,구로구,신도림하나이비인후과의원,02-859-5011,"서울특별시 구로구 새말로 89, 태영빌딩 B02,202,501호 (구로동)"
24년 09월 16일 06시,서울,노원구,위앤장이원표내과의원,931-7911,"서울특별시 노원구 동일로215길 2, 하나빌딩 4층 (상계동)"
24년 09월 16일 06시,서울,서대문구,김이비인후과의원,02-306-1851,"서울특별시 서대문구 응암로 54, 3층 (북가좌동, 서부프라자)"
24년 09월 16일 06시,서울,광진구,서울프라임병원,02-464-2700,"서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)"
24년 09월 16일 06시,서울,은평구,유정내과의원,02-386-9275,"서울특별시 은평구 통일로85길 6-11, (갈현동)"
24년 09월 16일 06시,서울,강남구,강남삼성드림이비인후과의원,02-539-0365,"서울특별시 강남구 강남대로 372, (역삼동, FINE TOWER)"
24년 09월 16일 06시,서울,광진구,참조은의원,02-455-5601,"서울특별시 광진구 광나루로 529, (구의동)"
24년 09월 16일 06시,서울,강남구,조은내과의원,02-3414-0173,"서울특별시 강남구 개포로 504, 메트하임 401,402,501호 (개포동)"
24년 09월 16일 06시,서울,강남구,봄빛의원,02-577-0296,"서울특별시 강남구 개포로 223, 우덕빌딩 3층 (개포동)"
24년 09월 16일 06시,서울,구로구,의료법인 우리아이들 의료재단 우리아이들병원,02-858-0100,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)"
24년 09월 16일 06시,서울,구로구,재단법인 제중의료복지재단 제중요양병원,02-837-7111,"서울특별시 구로구 새말로 60, 제중요양병원 지하2,동 1~9층 (구로동)"
24년 09월 16일 06시,서울,구로구,애경내과의원,02-851-2111,"서울특별시 구로구 새말로 89, 4층 (구로동)"
24년 09월 16일 06시,서울,강동구,강동한내과의원,02-488-0878,"서울특별시 강동구 성안로 156, 7층 (길동, 우주빌딩)"
24년 09월 16일 06시,서울,강서구,발산연세내과의원,02-2668-7575,"서울특별시 강서구 강서로 385, 5층 508, 509, 513호(마곡동, 우성에스비타워) (마곡동)"
24년 09월 16일 06시,서울,강남구,윤영석내과의원,02-508-7781,"서울특별시 강남구 남부순환로 2912, (대치동, 305,306,307호)"
24년 09월 16일 06시,서울,광진구,연세가정의원,463-0875,"서울특별시 광진구 면목로 130, 2층 (중곡동)"
24년 09월 16일 06시,서울,광진구,아가사랑소아청소년과의원,465-9813,"서울특별시 광진구 면목로 117, 2층 (중곡동, 바론채)"
24년 09월 16일 06시,서울,중랑구,맑은성모이비인후과의원,02-3421-7337,"서울특별시 중랑구 신내로14길 13, 광백빌딩 2층 202호 (신내동)"
24년 09월 16일 06시,서울,중랑구,프라임성모내과의원,02-3422-5551,"서울특별시 중랑구 신내로14길 8, 원빌딩 4(상가3층)층 (신내동)"
24년 09월 16일 06시,서울,성동구,서울성모이비인후과의원,02-2298-4500,"서울특별시 성동구 왕십리로 410, 센트라스 상가 L동 3층 305호, 305-1호 (하왕십리동, 센트라스)"
24년 09월 16일 06시,서울,구로구,허형빈이비인후과의원,02-2619-8875,"서울특별시 구로구 고척로 142-1, 3층 (고척동)"
24년 09월 16일 06시,서울,광진구,신혜성의원,02-3409-5511,"서울특별시 광진구 면목로 147, 3층 (중곡동, 삼영빌딩)"
24년 09월 16일 06시,서울,송파구,아이엠유의원,02-417-0500,"서울특별시 송파구 잠실로 156, 잠실광역환승센터 103호 (신천동)"
24년 09월 16일 06시,서울,송파구,송파성모이비인후과의원,02-420-4700,"서울특별시 송파구 마천로 41, 수기빌딩 3층 (방이동)"
24년 09월 16일 06시,서울,성북구,정릉아산내과의원,02-910-7010,"서울특별시 성북구 보국문로 33, 3층 302,303호 (정릉동)"
24년 09월 16일 06시,서울,서초구,독일의원,02-591-1912,"서울특별시 서초구 서래로5길 6, (반포동)"
24년 09월 16일 06시,서울,강동구,명성연세내과의원,02-441-9905,"서울특별시 강동구 구천면로 428, 308호 (명일동, 센트로빌)"
24년 09월 16일 06시,서울,강동구,영림내과의원,02-476-1615,"서울특별시 강동구 구천면로 233, 한양메디스퀘어 8,9층 (천호동)"
24년 09월 16일 06시,서울,강동구,박종수신경외과의원,02-476-0199,"서울특별시 강동구 구천면로 403, 지하1,2~5층 (명일동, 명일동메디컬빌딩)"
24년 09월 16일 06시,서울,강동구,스마일소아청소년과의원,02-428-6246,"서울특별시 강동구 구천면로 428, 304호 (명일동, 센트로빌)"
24년 09월 16일 06시,서울,강동구,명일이비인후과의원,02-426-2294,"서울특별시 강동구 구천면로 424, 명일메가타운 203호 (명일동)"
24년 09월 16일 06시,서울,관악구,연세속편한내과의원,02-6746-6252,"서울특별시 관악구 남부순환로 1942, 2층 (봉천동)"
24년 09월 16일 06시,서울,송파구,웰빙의원,02-418-7975,"서울특별시 송파구 백제고분로48길 38, 2층 201호 (방이동, 은석빌딩)"
24년 09월 16일 06시,서울,강남구,한빛의원,515-2956,"서울특별시 강남구 논현로 605, 2층 (논현동)"
24년 09월 16일 06시,서울,강서구,오율의원(마곡본점),02-6956-7585,"서울특별시 강서구 마곡서로 157, 스프링파크타워 2층 (마곡동)"
24년 09월 16일 06시,서울,중구,제이에이치제일의원,02-2277-2727,"서울특별시 중구 퇴계로 244, 1~4층 (충무로5가)"
24년 09월 16일 06시,서울,강동구,비타민소아청소년과의원,02-427-1649,"서울특별시 강동구 아리수로93나길 54, 경서프라자 4층 401,402호 (강일동)"
24년 09월 16일 06시,서울,광진구,별이비인후과의원,02-3409-9788,"서울특별시 광진구 능동로 111, 3층 (화양동)"
24년 09월 16일 06시,서울,노원구,정소아청소년과의원,02-948-4552,"서울특별시 노원구 화랑로51길 78, 2층 (공릉동, 비선아파트상가)"
24년 09월 16일 06시,서울,강남구,강남바른내과의원,02-6232-7500,"서울특별시 강남구 선릉로 324, SH타워 4층 (대치동)"
24년 09월 16일 06시,서울,강남구,굿모닝라이프의원,02-545-5834,"서울특별시 강남구 선릉로129길 22, 고영빌딩 2층 (논현동)"
24년 09월 16일 06시,서울,서초구,기쁨삼성내과의원,02-6238-7575,"서울특별시 서초구 서초대로 3-4, 403,408호 (방배동, 방배디오슈페리움1)"
24년 09월 16일 06시,서울,서초구,연세서내과의원,02-593-7583,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 302호, 303호일부호 (잠원동)"
24년 09월 16일 06시,서울,용산구,닥터효내과의원,02-6254-5000,"서울특별시 용산구 서빙고로 17, 2층 105~107호 (한강로3가)"
24년 09월 16일 06시,서울,서초구,히포크라타의원,02-591-9970,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 4층 401호 (잠원동)"
24년 09월 16일 06시,서울,구로구,오율의원 신도림점,02-2039-7533,"서울특별시 구로구 경인로63길 11, 신도림 크라운빌2 오피스텔 2층 209일부,210,211호 (신도림동)"
24년 09월 16일 06시,서울,강서구,서울힘내과의원,02-2659-5575,"서울특별시 강서구 양천로 461, 주영빌딩 2층 201호 (가양동)"
24년 09월 16일 06시,서울,은평구,서울성모OK의원,02-332-9266,"서울특별시 은평구 진흥로 103, 기린빌딩 5층 (역촌동)"
24년 09월 16일 06시,서울,구로구,더케이내과의원,02-6734-0511,"서울특별시 구로구 가마산로 232, 1층 (구로동, 스페스큐브)"
24년 09월 16일 06시,서울,강서구,벗이비인후과의원,02-2664-7600,"서울특별시 강서구 마곡서1로 115-1, 마곡헤리움1차 3층 303, 304, 307호 (마곡동)"
24년 09월 16일 06시,서울,강서구,삼성힐링내과의원,02-2638-5486,"서울특별시 강서구 양천로 401, 강서한강자이타워 204호 (가양동)"
24년 09월 16일 06시,서울,송파구,송파민이비인후과의원,02-406-5075,"서울특별시 송파구 거마로 61, 301호 (마천동)"
24년 09월 16일 06시,서울,강서구,가양성모내과의원,02-2668-5050,"서울특별시 강서구 화곡로68길 3, 401호, 404~407호 (등촌동)"
24년 09월 16일 06시,서울,마포구,연세소아청소년과의원,02-393-0119,"서울특별시 마포구 만리재로 133, 5층 (아현동)"
24년 09월 16일 06시,서울,서초구,김용수내과의원,02-6245-7070,"서울특별시 서초구 방배로 111, 근복빌딩 5층 (방배동)"
24년 09월 16일 06시,서울,강동구,이룸내과의원,02-477-7539,"서울특별시 강동구 양재대로 1625, 숨결TOWER 2층 (천호동)"
24년 09월 16일 06시,서울,강동구,리더스병원,02-333-3080,"서울특별시 강동구 천호대로 1044, (성내동)"
24년 09월 16일 06시,서울,강동구,허리나은병원,02-472-0114,"서울특별시 강동구 양재대로 1415, 지하4, 지상5층 (성내동)"
24년 09월 16일 06시,서울,강동구,남기세병원,02-1577-2533,"서울특별시 강동구 천호대로 1133, (길동)"
24년 09월 16일 06시,서울,강동구,고은빛여성병원,1577-0082,"서울특별시 강동구 천호대로 1151, (길동)"
24년 09월 16일 06시,서울,강남구,엠제이의원,02-555-3943,"서울특별시 강남구 도곡로 115, 거암빌딩 3,4층 (역삼동)"
24년 09월 16일 06시,서울,강동구,온사랑내과의원,02-476-0875,"서울특별시 강동구 천호대로 1006, 4층 (성내동)"
24년 09월 16일 06시,서울,강동구,유나산부인과의원,02-477-1110,"서울특별시 강동구 천호대로 1116, 205,206호 (성내동)"
24년 09월 16일 06시,서울,강동구,강동서울의원,02-488-1190,"서울특별시 강동구 천호대로 1119, (길동)"
24년 09월 16일 06시,서울,강남구,더힐가정의학과의원,02-6953-9549,"서울특별시 강남구 영동대로 22, S401-0413,0414,0415호 (일원동, 디에이치 자이 개포)"
24년 09월 16일 06시,서울,강동구,365힐링의원,02-475-3650,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)"
24년 09월 16일 06시,서울,노원구,태릉정원내과의원,02-979-0333,"서울특별시 노원구 동일로 1005, 대정빌딩 5,6층 (공릉동)"
24년 09월 16일 06시,서울,강남구,차의과학대학교 강남차병원,02-3468-3000,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)"
24년 09월 16일 06시,서울,강남구,선한목자병원,02-557-1004,"서울특별시 강남구 논현로 507, (역삼동, 성지하이츠3차빌딩 2층,3층일부)"
24년 09월 16일 06시,서울,강남구,비에비스나무병원,02-519-8800,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동)"
24년 09월 16일 06시,서울,강남구,정가정의학과의원,549-6069,"서울특별시 강남구 논현로 650, (논현동)"
24년 09월 16일 06시,서울,은평구,정성채내과의원,02-306-8285,"서울특별시 은평구 증산로 399, 2층 (신사동)"
24년 09월 16일 06시,서울,강남구,신사우리베스트내과의원,02-6958-8676,"서울특별시 강남구 강남대로 652, 6층 (신사동)"
24년 09월 16일 06시,서울,광진구,코즈이비인후과의원,02-446-5571,"서울특별시 광진구 천호대로 557, 풍국빌딩 101호 (중곡동)"
24년 09월 16일 06시,서울,광진구,희망내과의원,02-468-0575,"서울특별시 광진구 천호대로 527, 거산빌딩 2층 (중곡동)"
24년 09월 16일 06시,서울,동작구,중앙대학교병원,1800-1114,"서울특별시 동작구 흑석로 102, (흑석동)"
24년 09월 16일 06시,서울,성북구,크림슨내과의원,070-8873-2702,"서울특별시 성북구 개운사길 19, 만석가 빌딩 2층 (안암동5가)"
24년 09월 16일 06시,서울,강남구,지디스내과의원,02-501-1828,"서울특별시 강남구 도곡로 205, YK빌딩 2층 (역삼동)"
24년 09월 16일 06시,서울,강남구,대치서울영재소아청소년과의원,02-566-8781,"서울특별시 강남구 도곡로 515, 2층 (대치동, 한도산업사옥)"
24년 09월 16일 06시,서울,노원구,몸편한내과의원,02-930-1900,"서울특별시 노원구 덕릉로 744, 금강빌딩 2층 (상계동)"
24년 09월 16일 06시,서울,중구,삼성맑은내과의원,02-2237-2479,"서울특별시 중구 퇴계로 385, 준타워 7층 (흥인동)"
24년 09월 16일 06시,서울,송파구,은혜의원,02-413-3196,"서울특별시 송파구 올림픽로4길 48, 우성아파트 상가 3층 301호 (잠실동)"
24년 09월 16일 06시,서울,서대문구,삼성제일의원,02-305-2627,"서울특별시 서대문구 증가로 136, 2층 (남가좌동)"
24년 09월 16일 06시,서울,서대문구,강한내과의원,02-3143-5777,"서울특별시 서대문구 증가로 9, 범우빌딩 402호 (연희동)"
24년 09월 16일 06시,서울,서대문구,현대중앙의원,02-372-6319,"서울특별시 서대문구 증가로 128, 2~3층 (남가좌동)"
24년 09월 16일 06시,서울,서대문구,연세은혜내과의원,02-2039-7563,"서울특별시 서대문구 증가로 145, 3층 (남가좌동)"
24년 09월 16일 06시,서울,용산구,우리가정의원,02-319-4041,"서울특별시 용산구 신흥로 149, (후암동, 우리가정의원)"
24년 09월 16일 06시,서울,송파구,지파이브(G5)연합의원,02-2047-1133,"서울특별시 송파구 충민로 52, 가든파이브웍스 3층 S305,S306호 (문정동)"
24년 09월 16일 06시,서울,서초구,새론바디의원,02-3486-8517,"서울특별시 서초구 서초대로 270, 서보빌딩 2층 (서초동)"
24년 09월 16일 06시,서울,강동구,강동성모내과의원,02-428-8886,"서울특별시 강동구 올림픽로 806, 2층 (암사동, 까사팔공육)"
24년 09월 16일 06시,서울,동대문구,삼성베스트내과의원,02-6953-9663,"서울특별시 동대문구 답십리로 9, 5층 (전농동)"
24년 09월 16일 06시,서울,강북구,수연합의원,02-987-9875,"서울특별시 강북구 삼양로 308, 진주빌딩 2,3층 (수유동)"
24년 09월 16일 06시,서울,중구,명동연세의원,755-5254,"서울특별시 중구 명동길 26, 4층 (명동2가, 유네스코빌딩)"
24년 09월 16일 06시,서울,도봉구,쌍문성모내과의원,02-903-0875,"서울특별시 도봉구 도봉로 524, 하버드학원 6, 7층 (창동)"
24년 09월 16일 06시,서울,영등포구,여의도내과의원,02-780-9346,"서울특별시 영등포구 여의대방로65길 20, 301호 (여의도동)"
24년 09월 16일 06시,서울,마포구,마포늘푸른의원,02-717-7553,"서울특별시 마포구 대흥로24길 24, 마포프레스티지자이 상가A동 2층 208~209호 (염리동)"
24년 09월 16일 06시,서울,강남구,서울배내과의원,02-529-3002,"서울특별시 강남구 논현로 509, 송암II빌딩 2,4층 (역삼동)"
24년 09월 16일 06시,서울,강남구,연세다엘마취통증의학과내과의원,02-6205-0892,"서울특별시 강남구 논현로 561, 2,3,4층 (역삼동)"
24년 09월 16일 06시,서울,노원구,88플러스내과산부인과의원,02-972-8800,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)"
24년 09월 16일 06시,서울,송파구,마천서울내과의원,02-408-8119,"서울특별시 송파구 거마로 61, 강동중앙의원 2층 (마천동)"
24년 09월 16일 06시,서울,강서구,정기수내과의원,02-2602-7595,"서울특별시 강서구 화곡로 173, (화곡동)"
24년 09월 16일 06시,서울,서초구,정내과의원,02-532-4794,"서울특별시 서초구 서초중앙로 230, 303호 (반포동, 반포프라자빌딩)"
24년 09월 16일 06시,서울,도봉구,바로선병원,02-1666-5853,"서울특별시 도봉구 도봉로 628, (창동, 바로선병원)"
24년 09월 16일 06시,서울,도봉구,의료법인 상원의료재단 강북힘찬병원,02-1899-2226,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)"
24년 09월 16일 06시,서울,도봉구,서울노보스병원,02-3492-3251,"서울특별시 도봉구 도봉로 755, (도봉동)"
24년 09월 16일 06시,서울,도봉구,김명진내과의원,02-900-5155,"서울특별시 도봉구 도봉로 471, (쌍문동)"
